  06AQ20141202,   A12,1,1,16,2,20141204,630,-37.0977,12.759,4971,404.2,13.1629,35.2038,2,-999,9,217.6,2,219.7,2,3.9,2,9.52,2,0,2,0.71,2,2114.2,2,2312.3,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,13.1063
  06AQ20141202,   A12,1,1,15,2,20141204,626,-37.0977,12.759,4971,605.8,10.7066,34.8894,2,-999,9,213.4,2,215.8,2,6.15,2,15.73,2,0,2,1.08,2,2131,2,2298.7,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,10.6319
  06AQ20141202,   A12,1,1,14,2,20141204,622,-37.0977,12.759,4971,807.5,7.0467,34.4685,2,-999,9,205.5,2,209.4,2,14.16,2,24.59,2,0,2,1.7,2,2163.2,2,2286.5,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,6.9681
  06AQ20141202,   A12,1,1,13,2,20141204,619,-37.0977,12.759,4971,908.4,5.614,34.3634,2,-999,9,211,2,216.1,2,20.7,2,27.49,2,0,2,1.9,2,2173,2,2286.9,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,5.5349
  06AQ20141202,   A12,1,1,12,2,20141204,616,-37.0977,12.759,4971,1009.4,4.8514,34.3622,2,-999,9,202.3,2,207,2,29.29,2,29.61,2,0,2,2.06,2,2188.1,2,2304.8,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,4.7686
  06AQ20141202,   A12,1,1,11,2,20141204,607,-37.0977,12.759,4971,1517.3,3.1043,34.5894,2,-999,9,168.7,2,173,2,63.25,2,32.85,2,0,2,2.3,2,2238.2,2,2334.6,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.9938
  06AQ20141202,   A12,1,1,10,2,20141204,557,-37.0977,12.759,4971,2025,2.885,34.7855,2,-999,9,197.5,2,204.4,2,52.22,2,27.62,2,0,2,1.9,2,2213.6,2,2331.5,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7324
  06AQ20141202,   A12,1,1,9,2,20141204,548,-37.0977,12.759,4971,2532.4,2.5902,34.8356,2,34.8375,2,213,2,220.4,2,52.8,2,25.54,2,0,2,1.76,2,2205.8,2,2333.1,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.3951
  06AQ20141202,   A12,1,1,8,2,20141204,548,-37.0977,12.759,4971,2533.8,2.5868,34.8354,2,-999,9,212.9,2,220.4,2,52.8,2,25.64,2,0,2,1.75,2,2206.8,2,2333.6,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.3916
  06AQ20141202,   A12,1,1,7,2,20141204,538,-37.0977,12.759,4971,3043.8,2.409,34.8524,2,-999,9,219.7,2,228.3,2,54.07,2,24.93,2,0,2,1.68,2,2202.9,2,2338.3,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.167
  06AQ20141202,   A12,1,1,6,2,20141204,528,-37.0977,12.759,4971,3555.5,2.0804,34.828,2,-999,9,217,2,225.4,2,66.76,2,26.03,2,0,2,1.8,2,2218.3,2,2347.3,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.7929
  06AQ20141202,   A12,1,1,5,2,20141204,517,-37.0977,12.759,4971,4067,1.4495,34.767,2,-999,9,210.4,2,219.8,2,92.04,2,29.08,2,0,2,2.01,2,2242.9,2,2357.1,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.1241
  06AQ20141202,   A12,1,1,4,2,20141204,508,-37.0977,12.759,4971,4581,1.1595,34.7383,2,-999,9,208.9,2,218.2,2,104.24,2,30.48,2,0,2,2.12,2,2248.2,2,2365.3,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.7855
  06AQ20141202,   A12,1,1,3,2,20141204,504,-37.0977,12.759,4971,4685.3,1.1408,34.7357,2,34.7373,2,209.2,2,216.9,2,105.61,2,30.68,2,0,2,2.12,2,2252.2,2,2365.9,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.7553
